#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
smi:ch.ethz.sed/sc3a/2019vrpxrf|2019-11-04T00:59:46.75|48.242000|9.008000|4.0|||SED|smi:ch.ethz.sed/sc3a/2019vrpxrf|ML|3.8||Albstadt D
smi:ch.ethz.sed/sc3a/2019ovlclr|2019-07-29T23:17:47.572629|47.739485|9.110007|3.7|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3a/2019ovlclr|MLh|3.7|tdiehl@sc3ag|Konstanz D
smi:ch.ethz.sed/sc3a/2018cfbbyr|2018-02-01T01:47:33.109241|47.153205|9.996274|1.0|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3a/2018cfbbyr|MLh|4.1|tdiehl@sc3ag|Montafon A
smi:ch.ethz.sed/sc3a/2018bevqtj|2018-01-17T19:07:19.446511|47.145026|9.987871|1.0|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3a/2018bevqtj|MLh|4.1|tdiehl@sc3ag|Montafon A
smi:ch.ethz.sed/sc3a/2017oggxfq|2017-07-21T17:03:55.765469|45.686172|10.661619|5.3|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3a/2017oggxfq|MLh|3.6|tdiehl@sc3ag|Lago di Garda I
smi:ch.ethz.sed/sc3a/2017muwsar|2017-07-01T08:10:34.076731|46.491264|7.097482|4.3|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3a/2017muwsar|MLh|4.3|tdiehl@sc3ag|CHATEAU-D'OEX VD
smi:ch.ethz.sed/sc3a/2017kybrac|2017-06-04T18:00:56.45|45.654000|10.692800|10.1|SURVEY-INGV||SED|smi:ch.ethz.sed/sc3a/2017kybrac|ML|3.6|Sala Sismica INGV-Roma|Lago di Garda I
smi:ch.ethz.sed/sc3a/2017epaqsp|2017-03-06T20:12:07.401209|46.906690|8.925294|4.2|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3a/2017epaqsp|MLh|4.6|tdiehl@sc3ag|Linthal GL
smi:ch.ethz.sed/sc3a/2016vahyzy|2016-10-24T14:44:11.584989|46.338304|7.580278|8.2|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3a/2016vahyzy|MLh|4.1|tdiehl@sc3ag|Leukerbad VS
smi:ch.ethz.sed/sc3a/2016tuodjl|2016-10-07T07:27:07.298413|46.514167|9.543707|10.0|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3a/2016tuodjl|MLh|3.8|tdiehl@sc3ag|Juf GR
smi:ch.ethz.sed/sc3a/2016ceuzts|2016-01-31T22:43:58.992628|47.100665|10.086835|5.8|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3a/2016ceuzts|MLh|3.5|tdiehl@sc3ag|Montafon A
smi:ch.ethz.sed/sc3a/2014qybzvf|2014-08-28T17:49:19.576365|45.637354|10.663207|3.6|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3a/2014qybzvf|MLh|4.1|tdiehl@sc3ag|Lago di Garda I
smi:ch.ethz.sed/sc3rp/2013zljqbd|2013-12-27T07:08:28.3498|47.057708|9.495690|6.2|tdiehl@sc3rg||SED|smi:ch.ethz.sed/sc3rp/2013zljqbd|MLh|3.7|tdiehl@sc3rg|Sargans SG
smi:ch.ethz.sed/sc3rp/2013yjjmte|2013-12-12T00:59:18.86411|47.057708|9.490542|5.9|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3rp/2013yjjmte|MLh|4.1|tdiehl@sc3ag|Sargans SG
smi:ch.ethz.sed/sc3rp/2013obrn|2013-07-20T03:30:54.915087|47.420886|9.315622|4.5|tdiehl@sc3ag||SED|smi:ch.ethz.sed/sc3rp/2013obrn|MLh|3.5|tdiehl@sc3ag|Herisau AR
smi:ch.ethz.sed/sc3rp/2012uyog|2012-10-25T01:10:57.610844|46.034633|6.895545|4.4|tdiehl@sc3rg||SED|smi:ch.ethz.sed/sc3rp/2012uyog|MLh|3.6|tdiehl@sc3rg|Chamonix F
smi:ch.ethz.sed/KP201202240032.MANUPDEPICK/20121012194222/event/1|2012-02-24T00:32:29.8|47.144000|8.534000|32.4|ndeich||SED_KP|smi:ch.ethz.sed/KP201202240032.MANUPDEPICK/20121012194222/event/1|Ml|3.5|ndeich|Zug / Switzerland
smi:ch.ethz.sed/KP201202112245.MANUPDEPICK/20121012194222/event/1|2012-02-11T22:45:26.8|47.149000|8.553000|32.4|jclinton||SED_KP|smi:ch.ethz.sed/KP201202112245.MANUPDEPICK/20121012194222/event/1|Ml|4.2|jclinton|ZUG
smi:ch.ethz.sed/KP201201242354.MANUPDEPICK/20121012194221/event/1|2012-01-24T23:54:45.5|45.516000|10.887000|2.0|ndeich||SED_KP|smi:ch.ethz.sed/KP201201242354.MANUPDEPICK/20121012194221/event/1|Ml|4.4|ndeich|Northern Italy
smi:ch.ethz.sed/KP201201020142.MANUPDEPICK/20121012194221/event/1|2012-01-02T01:42:57.4|46.700000|9.737000|8.0|ndeich||SED_KP|smi:ch.ethz.sed/KP201201020142.MANUPDEPICK/20121012194221/event/1|Ml|3.5|ndeich|Filisur / Switzerland
smi:ch.ethz.sed/KP201110290413.MANUPDEPICK/20121012194219/event/1|2011-10-29T04:13:34.8|45.728000|10.790000|16.0|jclinton||SED_KP|smi:ch.ethz.sed/KP201110290413.MANUPDEPICK/20121012194219/event/1|Ml|4.2|jclinton|Northern Italy
smi:ch.ethz.sed/KP201006301153.MANUPDEPICK/20121012194215/event/1|2010-06-30T11:53:44.6|45.415000|6.538000|10.8|jclinton||SED_KP|smi:ch.ethz.sed/KP201006301153.MANUPDEPICK/20121012194215/event/1|Ml|3.7|jclinton|France
smi:ch.ethz.sed/KP201005110213.MANUPDEPICK/20121012194215/event/1|2010-05-11T02:13:41.8|45.718000|9.745000|12.7|ndeich||SED_KP|smi:ch.ethz.sed/KP201005110213.MANUPDEPICK/20121012194215/event/1|Ml|3.5|ndeich|Albino / Italy
smi:ch.ethz.sed/KP200909110634.MANUPDEPICK/20121109201902/event/1|2009-09-11T06:34:38.1|46.527000|9.696000|11.3|ndeich||SED_KP|smi:ch.ethz.sed/KP200909110634.MANUPDEPICK/20121109201902/event/1|Ml|3.6|ndeich|Bivio / Switzerland
smi:ch.ethz.sed/KP200905050139.MANUPDEPICK/20121109201902/event/1|2009-05-05T01:39:25.1|47.674000|7.748000|11.7|ndeich||SED_KP|smi:ch.ethz.sed/KP200905050139.MANUPDEPICK/20121109201902/event/1|Ml|4.2|ndeich|Zell / Germany
smi:ch.ethz.sed/KP200901041530.MANUPDEPICK/20121109201901/event/1|2009-01-04T15:30:30.1|47.173000|9.361000|4.5|ndeich||SED_KP|smi:ch.ethz.sed/KP200901041530.MANUPDEPICK/20121109201901/event/1|Ml|4.1|ndeich|Buchs / Switzerland
smi:ch.ethz.sed/event/ecos09/GROUP_PEGASOS/54990.00000|2008-07-14T03:51:41.0000|45.647000|10.478000|2.0|||SED_ECOS-09|smi:ch.ethz.sed/event/ecos09/GROUP_PEGASOS/54990.00000|Mw|3.5||
